<age>     age
<area>    subject area
<case>    case (nominative, vocative, ...)
<comp>    comparison (positive, comparative, superlative)
<conj>    conjugation (1st, 2nd, ...)
<decl>    declension (1st, 2nd, ...)
<dict>    dictionary
<entry>   entry
<freq>    frequency
<gend>    gender
<geo>     geographic area
<hdwd>    dictionary headword(s)
<infl>    inflected form
<kind>    verb kind (transitive, intransitive, ...)
<mean>    meaning
<mood>    mood (indicative, subjunctive, ...)
<note>    note
<num>     number (singular, plural)
<pers>    person (1st, 2nd, 3rd)
<pofs>    part of speech
<phrase>  input text
<sort>    numeral sort (cardinal, ordinal, ...)
<src>     source
<stem>    stem
<suff>    suffix
<tense>   tense (present, imperfect, ...)
<term>    term
<var>     variant (1st, 2nd, ...)
<voice>   voice (active, passive)
<word>    word
<xmpl>    example
